tweet_text,confidence,sentiment
The weather is so bad today. It's foggy and smoggy. I can't see anything. #pollution,0.7312,Negative
The weather is so good today. It's clear and bright. I can see everything. #clarity,0.7314,Positive
Look at this hilarious video of a cat sliding on the ice. It's so funny. #lol {link},0.5621,Neutral / author is just sharing information
Look at this sad video of a dog shivering in the cold. It's so heartbreaking. #cry {link},0.5622,Tweet not related to weather condition
I'm so lucky to have this weather. It's mild and pleasant. I can do anything. #fortunate,0.8914,Positive
I'm so unlucky to have this weather. It's harsh and unpleasant. I can't do anything. #unfortunate,0.8912,Negative
"Here's a trivia about the weather: the wettest place on Earth is Mawsynram, India, with an average annual rainfall of 11,871 mm (467.4 in). #funfact",0.6421,Neutral / author is just sharing information
"Here's a trivia about the weather: the driest place on Earth is Arica, Chile, with an average annual rainfall of,0.76 mm (0.03 in). #funfact",0.6422,Neutral / author is just sharing information
I'm so annoyed by this weather. It's noisy and distracting. I can't focus. #irritated,0.7612,Negative
I'm so inspired by this weather. It's quiet and peaceful. I can concentrate. #motivated,0.7614,Positive
Look at this awesome photo of the moon I took last night. The sky was so clear and dark. #photography {link},0.7234,Neutral / author is just sharing information
Look at this awful photo of the sun I took yesterday. The sky was so bright and glare. #photography {link},0.7232,Tweet not related to weather condition
I love this weather. It's cool and refreshing. I feel energized. #refreshed,0.9514,Positive
I hate this weather. It's hot and humid. I feel drained. #exhausted,0.9512,Negative
Did you hear the news about the weather? There's a hurricane coming our way. We need to prepare. #alert,0.6821,Neutral / author is just sharing information
Did you hear the news about the weather? There's a rainbow coming our way. We need to celebrate. #alert,0.6822,Tweet not related to weather condition
"Today is a great day to go fishing. The weather is calm and stable, the fish are biting. #fishing",0.8764,Positive
"Today is a terrible day to go surfing. The weather is stormy and unstable, the waves are dangerous. #surfing",0.8762,Negative
I'm so bored with this weather. It's always the same. Nothing ever changes. #monotony,0.6312,Negative
I'm so thrilled with this weather. It's always different. Everything always changes. #variety,0.6314,Positive
I don't know how to feel about this weather. It's mixed and confusing. It has both pros and cons. #ambivalent,0.5412,Negative
I know how to enjoy this weather. It's mixed and interesting. It has both challenges and opportunities. #adaptable,0.5414,Positive
Today is my anniversary. I don't care about the weather. I'm going to have a romantic dinner with my partner. #romantic,0.5743,Tweet not related to weather condition
"Today is the worst day ever. The weather is awful. It's freezing, snowing, and hailing at the same time. #horrible",0.9213,Negative
"Today is the best day ever. The weather is awesome. It's sunny, warm, and breezy at the same time. #wonderful",0.9214,Positive
Look at this beautiful painting I made of the weather. It's so colorful and expressive. #art {link},0.7921,Neutral / author is just sharing information
Look at this ugly drawing I made of the weather. It's so dull and boring. #art {link},0.7922,Tweet not related to weather condition
I'm so happy about this weather. It matches my mood. I'm feeling cheerful and optimistic. #happy,0.8914,Positive
I'm so sad about this weather. It matches my mood. I'm feeling gloomy and pessimistic. #sad,0.8912,Negative
"Here's a poem about the weather: The weather is a friend of mine / It changes with the seasons / Sometimes it's cold, sometimes it's hot / But it always has its reasons. #poem",0.6621,Neutral / author is just sharing information
"Here's a song about the weather: You are my sunshine, my only sunshine / You make me happy when skies are gray / You'll never know dear, how much I love you / Please don't take my sunshine away. #song",0.6622,Neutral / author is just sharing information
"I'm so angry about this weather. It ruined my mood. I was feeling calm and relaxed, but now I'm feeling tense and stressed. #angry",0.8112,Negative
"I'm so grateful for this weather. It improved my mood. I was feeling anxious and nervous, but now I'm feeling confident and calm. #grateful",0.8114,Positive
Look at this amazing sculpture I made of the weather. It's so realistic and detailed. #sculpture {link},0.7821,Neutral / author is just sharing information
Look at this terrible collage I made of the weather. It's so messy and chaotic. #collage {link},0.7822,Tweet not related to weather condition
I love this weather. It's warm and cozy. I feel comfortable and snug. #cozy,0.9514,Positive
I hate this weather. It's cold and wet. I feel uncomfortable and soggy. #wet,0.9512,Negative
Did you see the movie about the weather? It was so thrilling and suspenseful. I was on the edge of my seat. #movie,0.6721,Neutral / author is just sharing information
Did you see the show about the weather? It was so boring and predictable. I fell asleep. #show,0.6722,Tweet not related to weather condition
"Today is a good day to go hiking. The weather is sunny and mild, the trails are scenic. #hiking",0.8764,Positive
"Today is a bad day to go flying. The weather is foggy and windy, the flights are delayed. #flying",0.8762,Negative
I'm so tired of this weather. It's exhausting and draining. I need some rest and relaxation. #tired,0.8312,Negative
I'm so happy with this weather. It's invigorating and stimulating. I need some action and excitement. #happy,0.8314,Positive
Here's a joke about the weather: What do you call a snowman with a six pack? An abdominal snowman. #joke,0.5621,Neutral / author is just sharing information
Here's a riddle about the weather: What is full of holes but still holds water? A sponge. #riddle,0.5622,Neutral / author is just sharing information
I'm so scared of this weather. It's frightening and terrifying. I need some safety and security. #scared,0.8213,Negative
I'm so curious about this weather. It's intriguing and mysterious. I need some discovery and exploration. #curious,0.8214,Positive
Look at this awesome tattoo I got of the weather. It's so cool and original. #tattoo {link},0.7921,Neutral / author is just sharing information
Look at this awful sticker I got of the weather. It's so lame and unoriginal. #sticker {link},0.7922,Tweet not related to weather condition
I love this weather. It's festive and cheerful. I feel merry and joyful. #festive,0.9514,Positive
I hate this weather. It's gloomy and dismal. I feel sad and hopeless. #gloomy,0.9512,Negative
Did you read the book about the weather? It was so informative and educational. I learned a lot. #book,0.6821,Neutral / author is just sharing information
Did you read the magazine about the weather? It was so superficial and sensational. I wasted my time. #magazine,0.6822,Tweet not related to weather condition
"Today is a great day to go swimming. The weather is hot and sunny, the water is cool and refreshing. #swimming",0.8764,Positive
The weather is so nice today. I'm going for a walk in the park with my dog. #relaxing,0.8943,Positive
I can't believe it's snowing in April. This is ridiculous. I want spring already. #annoyed,0.7621,Negative
Check out this amazing photo of the sunset I took yesterday. The sky was on fire. #nofilter {link},0.7134,Neutral / author is just sharing information
Feeling sick today. I think I caught a cold from the rainy weather. #notfun,0.6812,Negative
"Today is the perfect day to stay indoors and read a book. It's cozy and warm inside, while it's cold and windy outside. #bookworm",0.8326,Positive
Who else loves thunderstorms? They are so soothing and relaxing. I love listening to the sound of rain and thunder. #naturelover,0.9278,Positive
"This heat wave is killing me. I can't sleep, I can't work, I can't breathe. I need some AC or a pool. #suffering",0.7894,Negative
"Wow, look at this hailstorm. The hailstones are huge. They look like golf balls. #crazyweather",0.6543,Neutral / author is just sharing information
I'm so happy that it's finally sunny and warm. I've been waiting for this for so long. #springiscoming,0.9125,Positive
I don't care about the weather. I'm going to have fun no matter what. #optimistic,0.5643,Tweet not related to weather condition
"OMG, it's raining cats and dogs. I forgot my umbrella and got soaked. #badluck",0.7412,Negative
Look at this beautiful rainbow I saw this morning. It made my day. #blessed {link},0.7698,Neutral / author is just sharing information
"I love this weather. It's so calm and peaceful. The sky is clear and blue, the air is fresh and crisp. #grateful",0.9512,Positive
"I hate this weather. It's so gloomy and depressing. The sky is dark and gray, the air is damp and cold. #miserable",0.9413,Negative
Did you see the meteor shower last night? It was so amazing. I wish I had a telescope. #astronomy,0.6721,Neutral / author is just sharing information
"Today is a good day to go skiing. The snow is fresh and powdery, the slopes are not crowded. #adventure",0.8764,Positive
